Municipios,Populacao
Trinidad,166.262
San Javier,4.043
Riberalta,114.869
Guayaramerín,51.188
Reyes,11.811
San Borja,42.262
Santa Rosa,10.395
Rurrenabaque,2.158
Santa Ana De Yacuma,18.502
Exaltación,4.085
San Ignacio,21.188
Loreto,2.926
San Andrés,13.134
San Joaquín,6.069
San Ramón,5.294
Puerto Siles,1.116
Magdalena,1.218
Baures,5.365
Huacaraje,4.069
Cobija,90.277
Porvenir,8.243
Bolpebra,2.574
Bella Flor,4.195
Puerto Rico,10.759
San Pedro,1.757
Filadelfia,8.123
Puerto Gonzales Moreno,724
San Lorenzo,9.358
Sena,8.213
Santa Rosa,2.741
Ingavi,2.537
Nueva Esperanza,184
Villa Nueva - Loma Alta,3.177
Santos Mercado,2.693
